2024-12-11 20:35:36 | User 1001 | WITHDRAWAL | $1.00
2024-12-11 20:35:43 | User 1001 | DEPOSIT | $1.00
2024-12-13 15:45:26 | User 1001 | DEPOSIT | $100.00
2024-12-13 15:48:59 | User 1001 | WITHDRAWAL | $1000.00
2024-12-13 19:15:31 | User 1002 | WITHDRAWAL | $2000.00
2024-12-13 19:15:47 | User 1002 | DEPOSIT | $2000.00
2024-12-13 19:25:43 | User 1001 | WITHDRAWAL | $250.00
2024-12-13 19:28:38 | User 1001 | DEPOSIT | $300.00
2024-12-13 22:44:29 | User 1003 | WITHDRAWAL | Rs2.00
2024-12-13 22:44:44 | User 1003 | DEPOSIT | Rs2.00
2024-12-13 22:50:31 | User 1003 | WITHDRAWAL | Rs 22.00
2024-12-13 22:50:42 | User 1003 | DEPOSIT | Rs 22.00
2024-12-14 08:00:35 | User 1002 | WITHDRAWAL | Rs 2500.00
2024-12-14 08:01:19 | User 1002 | DEPOSIT | Rs 3000.00
2024-12-14 10:25:13 | User 1001 | WITHDRAWAL | Rs 250.00
2024-12-14 10:25:28 | User 1001 | DEPOSIT | Rs 200.00
